,DT predictions,RF predictions,GB predictions,ET predictions,Ensemble of the four ,Real values
5646,4.65,4.649099999999996,4.690755026830466,4.690300000000003,4.6700387567076165,4.65
732,8.36,6.2752,5.887053705095652,6.374700000000001,6.724238426273913,5.62
11431,7.180000000000004,7.17999999999999,7.245330140649674,7.178699999999989,7.196007535162415,7.18
9906,6.630000000000001,6.629999999999996,6.64118654232643,6.632899999999994,6.633521635581605,6.63
2034,5.29,5.2895000000000065,5.1954968419665075,5.290900000000001,5.266474210491628,5.29
11333,6.39,6.38999999999999,6.337307874737119,6.38969999999999,6.376751968684275,6.39
4026,7.550000000000002,7.549999999999991,7.602793923372467,7.550099999999991,7.563223480843113,7.55
11525,5.82,5.8272,5.9210982859955,5.863699999999999,5.857999571498875,5.83
1730,6.670000000000001,6.669999999999995,6.705379238425468,6.669899999999995,6.678819809606365,6.67
5528,5.759999999999999,5.761199999999993,5.6724577912892515,5.761299999999994,5.73873944782231,5.76
6196,7.1599999999999975,7.159999999999999,7.095985920640517,7.158699999999997,7.143671480160128,7.16
13066,7.94,7.939800000000017,7.904984806270316,7.9411000000000165,7.931471201567588,7.94
11629,7.810000000000001,7.810299999999983,7.771835667174548,7.812699999999989,7.80120891679363,7.81
14425,6.8,5.355200000000002,5.088243685346252,5.846800000000003,5.772560921336564,5.67
7743,7.08,7.047600000000001,6.696078424433469,7.028100000000004,6.962944606108369,7.13
5692,7.110000000000005,7.10990000000001,7.131922094378684,7.10770000000001,7.114880523594676,7.11
8969,6.040000000000002,6.039600000000002,5.979996236492656,6.032499999999996,6.023024059123164,6.04
12649,6.42,6.4199999999999955,6.361048135964081,6.422199999999996,6.405812033991019,6.42
13096,6.41,6.410000000000002,6.339161058472453,6.410400000000001,6.392390264618115,6.41
13028,5.8500000000000005,5.848800000000008,5.822161989120953,5.844800000000009,5.841440497280243,5.85
1022,6.08,5.777399999999999,5.841505304773047,5.7302,5.857276326193261,5.25
6967,6.04,5.693999999999997,5.710754322377585,5.768699999999999,5.803363580594396,5.73
5687,5.66,5.753400000000004,5.841505304773047,5.776300000000004,5.757801326193263,6.1
12751,4.79,4.474800000000003,4.159206735427121,3.9268000000000014,4.337701683856781,3.85
4269,7.62,7.228300000000005,6.289772385365493,6.402800000000003,6.885218096341375,5.07
9303,7.150000000000004,7.149999999999988,7.063791655582966,7.1539999999999875,7.129447913895737,7.15
7316,6.95,6.950000000000006,6.919237726828943,6.954000000000007,6.943309431707239,6.95
9417,5.04,5.0298,5.1618292188696895,5.0469,5.069632304717422,5.03
10807,7.400000000000004,7.399999999999986,7.411713982928214,7.399099999999988,7.402703495732048,7.4
13055,5.590000000000001,5.588699999999996,5.586305661974859,5.5916999999999994,5.589176415493713,5.59
5123,7.029999999999999,7.029999999999983,7.039495664842834,7.029299999999983,7.0321989162106995,7.03
10180,6.160000000000001,6.159000000000003,6.078900875998051,6.158099999999999,6.139000218999513,6.16
13707,5.09,5.054999999999997,5.236710277578476,5.181300000000001,5.1407525693946186,5.09
12928,6.6,6.600000000000012,6.543517607994485,6.599900000000012,6.585854401998628,6.6
6699,7.93,7.933299999999994,7.907548548807928,7.933900000000005,7.926187137201982,7.93
10187,4.95,5.7304999999999975,5.587846979982445,5.739099999999999,5.50186174499561,5.53
7834,6.830000000000005,6.830000000000007,6.79423986980989,6.8303000000000065,6.821134967452478,6.83
1683,2.08,5.655100000000002,5.4229270872330115,5.313199999999999,4.617806771808253,5.0
2455,5.24,5.222200000000002,5.203317408978331,4.969799999999999,5.158829352244584,5.24
6210,7.080000000000004,7.080000000000008,7.123273784161871,7.080800000000007,7.091018446040472,7.08
10427,7.07,7.07000000000001,7.100561971533738,7.06760000000001,7.07704049288344,7.07
8701,7.41,7.4099999999999975,7.386240667845234,7.409899999999998,7.4040351669613065,7.41
6489,6.8000000000000025,6.799999999999995,6.848475720269945,6.802299999999994,6.812693930067484,6.8
7303,4.9,5.973000000000001,5.274733485380198,5.959100000000001,5.52670837134505,7.06
5508,6.900000000000004,6.900899999999989,6.833179161177145,6.901499999999991,6.883894790294282,6.9
2214,6.950000000000002,6.950000000000006,6.96984771149452,6.951400000000008,6.955311927873634,6.95
11113,4.88,4.879,4.906089254851777,4.950899999999998,4.903997313712944,4.89
4682,7.07,7.07000000000001,7.093585156353921,7.069200000000008,7.075696289088485,7.07
2456,0.0,0.0,0.0,0.0,0.0,0.0
902,7.44,5.5275000000000025,5.399875179377629,5.6607,6.007018794844408,5.24
